Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
41,Yes,Travel_Rarely,1102,Sales,1,2,2,Female,3,2,Sales Executive,4,Single,8,Yes,11,3,1,0,8,0,1,6,4,0,5
49,No,Travel_Frequently,279,Research & Development,8,1,3,Male,2,2,Research Scientist,2,Married,1,No,23,4,4,1,10,3,3,10,7,1,7
37,Yes,Travel_Rarely,1373,Research & Development,2,2,4,Male,2,1,Laboratory Technician,3,Single,6,Yes,15,3,2,0,7,3,3,0,0,0,0
33,No,Travel_Frequently,1392,Research & Development,3,4,4,Female,3,1,Research Scientist,3,Married,1,Yes,11,3,3,0,8,3,3,8,7,3,0
27,No,Travel_Rarely,591,Research & Development,2,1,1,Male,3,1,Laboratory Technician,2,Married,9,No,12,3,4,1,6,3,3,2,2,2,2
32,No,Travel_Frequently,1005,Research & Development,2,2,4,Male,3,1,Laboratory Technician,4,Single,0,No,13,3,3,0,8,2,2,7,7,3,6
59,No,Travel_Rarely,1324,Research & Development,3,3,3,Female,4,1,Laboratory Technician,1,Married,4,Yes,20,4,1,3,12,3,2,1,0,0,0
30,No,Travel_Rarely,1358,Research & Development,24,1,4,Male,3,1,Laboratory Technician,3,Divorced,1,No,22,4,2,1,1,2,3,1,0,0,0
38,No,Travel_Frequently,216,Research & Development,23,3,4,Male,2,3,Manufacturing Director,3,Single,0,No,21,4,2,0,10,2,3,9,7,1,8
36,No,Travel_Rarely,1299,Research & Development,27,3,3,Male,3,2,Healthcare Representative,3,Married,6,No,13,3,2,2,17,3,2,7,7,7,7
35,No,Travel_Rarely,809,Research & Development,16,3,1,Male,4,1,Laboratory Technician,2,Married,0,No,13,3,3,1,6,5,3,5,4,0,3
29,No,Travel_Rarely,153,Research & Development,15,2,4,Female,2,2,Laboratory Technician,3,Single,0,Yes,12,3,4,0,10,3,3,9,5,0,8
31,No,Travel_Rarely,670,Research & Development,26,1,1,Male,3,1,Research Scientist,3,Divorced,1,No,17,3,4,1,5,1,2,5,2,4,3
34,No,Travel_Rarely,1346,Research & Development,19,2,2,Male,3,1,Laboratory Technician,4,Divorced,0,No,11,3,3,1,3,2,3,2,2,1,2
28,Yes,Travel_Rarely,103,Research & Development,24,3,3,Male,2,1,Laboratory Technician,3,Single,5,Yes,14,3,2,0,6,4,3,4,2,0,3
29,No,Travel_Rarely,1389,Research & Development,21,4,2,Female,4,3,Manufacturing Director,1,Divorced,1,No,11,3,3,1,10,1,3,10,9,8,8
32,No,Travel_Rarely,334,Research & Development,5,2,1,Male,4,1,Research Scientist,2,Divorced,0,Yes,12,3,4,2,7,5,2,6,2,0,5
22,No,Non-Travel,1123,Research & Development,16,2,4,Male,4,1,Laboratory Technician,4,Divorced,1,Yes,13,3,2,2,1,2,2,1,0,0,0
53,No,Travel_Rarely,1219,Sales,2,4,1,Female,2,4,Manager,4,Married,2,No,16,3,3,0,31,3,3,25,8,3,7
38,No,Travel_Rarely,371,Research & Development,2,3,4,Male,3,1,Research Scientist,4,Single,5,Yes,11,3,3,0,6,3,3,3,2,1,2
24,No,Non-Travel,673,Research & Development,11,2,1,Female,4,2,Manufacturing Director,3,Divorced,0,No,18,3,4,1,5,5,2,4,2,1,3
36,Yes,Travel_Rarely,1218,Sales,9,4,3,Male,2,1,Sales Representative,1,Single,7,No,23,4,2,0,10,4,3,5,3,0,3
34,No,Travel_Rarely,419,Research & Development,7,4,1,Female,3,3,Research Director,2,Single,0,No,11,3,3,0,13,4,3,12,6,2,11
21,No,Travel_Rarely,391,Research & Development,15,2,3,Male,3,1,Research Scientist,4,Single,1,No,14,3,4,0,0,6,3,0,0,0,0
34,Yes,Travel_Rarely,699,Research & Development,6,1,2,Male,3,1,Research Scientist,1,Single,2,No,11,3,3,0,8,2,3,4,2,1,3
53,No,Travel_Rarely,1282,Research & Development,5,3,3,Female,3,5,Manager,3,Divorced,4,No,11,3,4,1,26,3,2,14,13,4,8
32,Yes,Travel_Frequently,1125,Research & Development,16,1,2,Female,1,1,Research Scientist,1,Single,1,Yes,22,4,2,0,10,5,3,10,2,6,7
42,No,Travel_Rarely,691,Sales,8,4,3,Male,3,2,Sales Executive,2,Married,0,No,11,3,4,1,10,2,3,9,7,4,2
44,No,Travel_Rarely,477,Research & Development,7,4,1,Female,2,3,Healthcare Representative,4,Married,3,No,14,3,4,1,24,4,3,22,6,5,17
46,No,Travel_Rarely,705,Sales,2,4,2,Female,3,5,Manager,1,Single,3,No,12,3,4,0,22,2,2,2,2,2,1
33,No,Travel_Rarely,924,Research & Development,2,3,3,Male,3,1,Laboratory Technician,4,Single,4,No,11,3,4,0,7,3,3,1,1,0,0
44,No,Travel_Rarely,1459,Research & Development,10,4,4,Male,3,2,Healthcare Representative,4,Married,2,Yes,13,3,4,0,9,5,4,4,2,1,3
30,No,Travel_Rarely,125,Research & Development,9,2,4,Male,2,1,Laboratory Technician,3,Single,1,No,13,3,1,0,10,5,3,10,0,1,8
39,Yes,Travel_Rarely,895,Sales,5,3,4,Male,3,2,Sales Representative,4,Married,3,No,14,3,3,1,19,6,4,1,0,0,0
24,Yes,Travel_Rarely,813,Research & Development,1,3,2,Male,3,1,Research Scientist,4,Married,2,Yes,16,3,1,1,6,2,2,2,0,2,0
43,No,Travel_Rarely,1273,Research & Development,2,2,4,Female,4,1,Research Scientist,3,Divorced,1,No,12,3,4,2,6,3,2,5,3,1,4
50,Yes,Travel_Rarely,869,Sales,3,2,1,Male,2,1,Sales Representative,3,Married,1,Yes,14,3,3,0,3,2,3,3,2,0,2
35,No,Travel_Rarely,890,Sales,2,3,4,Female,3,1,Sales Representative,4,Married,1,No,13,3,1,0,2,3,3,2,2,2,2
36,No,Travel_Rarely,852,Research & Development,5,4,2,Female,2,1,Research Scientist,1,Married,9,Yes,14,3,4,1,6,3,4,1,1,0,0
33,No,Travel_Frequently,1141,Sales,1,3,3,Female,4,2,Sales Executive,1,Married,2,No,19,3,1,2,10,3,3,5,3,1,3
35,No,Travel_Rarely,464,Research & Development,4,2,3,Male,3,1,Laboratory Technician,4,Divorced,1,No,12,3,3,1,1,3,3,1,0,0,0
27,No,Travel_Rarely,1240,Research & Development,2,4,4,Female,3,1,Laboratory Technician,1,Divorced,1,No,13,3,4,1,1,6,3,1,0,0,0
26,Yes,Travel_Rarely,1357,Research & Development,25,3,1,Male,1,1,Laboratory Technician,3,Single,1,No,12,3,3,0,1,2,2,1,0,0,1
27,No,Travel_Frequently,994,Sales,8,3,4,Male,3,3,Sales Executive,3,Single,1,No,15,3,4,0,9,0,3,9,8,1,7
30,No,Travel_Frequently,721,Research & Development,1,2,3,Female,3,2,Laboratory Technician,4,Single,1,No,23,4,4,0,12,2,3,12,8,3,7
41,Yes,Travel_Rarely,1360,Research & Development,12,3,2,Female,3,5,Research Director,3,Married,1,No,12,3,4,0,23,0,3,22,15,15,8
34,No,Non-Travel,1065,Sales,23,4,2,Male,3,2,Sales Executive,3,Single,0,No,20,4,3,0,10,2,3,9,5,8,7
37,No,Travel_Rarely,408,Research & Development,19,2,2,Male,3,1,Research Scientist,2,Married,4,No,21,4,1,0,8,1,3,1,0,0,0
46,No,Travel_Frequently,1211,Sales,5,4,1,Male,3,2,Sales Executive,4,Single,4,Yes,21,4,3,0,14,4,3,9,6,0,8
35,No,Travel_Rarely,1229,Research & Development,8,1,4,Male,4,1,Laboratory Technician,4,Married,1,No,19,3,4,0,1,2,3,1,0,0,1
48,Yes,Travel_Rarely,626,Research & Development,1,2,1,Male,2,3,Laboratory Technician,3,Single,9,Yes,13,3,4,0,23,2,3,1,0,0,0
28,Yes,Travel_Rarely,1434,Research & Development,5,4,3,Male,3,1,Laboratory Technician,3,Single,1,Yes,13,3,3,0,2,3,2,2,2,2,2
44,No,Travel_Rarely,1488,Sales,1,5,2,Female,3,2,Sales Executive,1,Divorced,5,Yes,21,4,3,1,9,2,2,4,3,1,3
35,No,Non-Travel,1097,Research & Development,11,2,3,Male,2,3,Healthcare Representative,1,Married,2,Yes,13,3,3,1,10,3,3,4,0,2,3
26,No,Travel_Rarely,1443,Sales,23,3,3,Female,2,2,Sales Executive,4,Married,7,Yes,19,3,3,1,5,2,2,2,2,0,0
33,No,Travel_Frequently,515,Research & Development,1,2,1,Female,3,3,Research Director,4,Single,1,Yes,12,3,3,0,15,1,3,15,14,8,12
35,No,Travel_Frequently,853,Sales,18,5,2,Male,3,3,Sales Executive,1,Married,1,No,22,4,4,1,9,3,2,9,8,1,8
35,No,Travel_Rarely,1142,Research & Development,23,4,3,Female,3,1,Laboratory Technician,1,Married,3,Yes,15,3,3,1,4,3,3,2,2,2,2
31,No,Travel_Rarely,655,Research & Development,7,4,4,Male,3,2,Laboratory Technician,4,Divorced,3,No,22,4,4,1,10,3,2,7,7,1,7
37,No,Travel_Rarely,1115,Research & Development,1,4,1,Male,2,2,Manufacturing Director,3,Divorced,1,No,18,3,3,1,7,2,4,7,5,0,7
32,No,Travel_Rarely,427,Research & Development,1,3,1,Male,3,2,Manufacturing Director,4,Married,1,Yes,22,4,2,1,9,3,3,9,8,7,8
38,No,Travel_Frequently,653,Research & Development,29,5,4,Female,3,2,Laboratory Technician,4,Single,1,No,11,3,4,0,10,2,3,10,3,9,9
50,No,Travel_Rarely,989,Research & Development,7,2,2,Female,2,5,Research Director,3,Divorced,5,Yes,12,3,4,1,29,2,2,27,3,13,8
59,No,Travel_Rarely,1435,Sales,25,3,1,Female,3,3,Sales Executive,1,Single,7,No,11,3,4,0,28,3,2,21,16,7,9
36,No,Travel_Rarely,1223,Research & Development,8,3,3,Female,3,3,Healthcare Representative,3,Divorced,1,No,13,3,2,3,17,2,3,17,14,12,8
55,No,Travel_Rarely,836,Research & Development,8,3,4,Female,3,4,Manager,3,Divorced,2,Yes,14,3,3,3,21,2,3,5,0,0,2
36,No,Travel_Frequently,1195,Research & Development,11,3,2,Male,2,2,Manufacturing Director,2,Single,1,No,13,3,3,0,6,3,3,6,5,0,3
45,No,Travel_Rarely,1339,Research & Development,7,3,2,Male,3,3,Research Scientist,1,Divorced,2,No,17,3,3,1,25,2,3,1,0,0,0
35,No,Travel_Frequently,664,Research & Development,1,3,2,Male,3,1,Research Scientist,1,Married,4,No,13,3,4,1,5,2,2,3,2,1,2
36,Yes,Travel_Rarely,318,Research & Development,9,3,4,Male,2,1,Research Scientist,3,Married,0,Yes,17,3,1,1,2,0,2,1,0,0,0
59,No,Travel_Frequently,1225,Sales,1,1,1,Female,2,2,Sales Executive,3,Single,7,No,11,3,4,0,20,2,2,4,3,1,3
29,No,Travel_Rarely,1328,Research & Development,2,3,3,Male,3,1,Research Scientist,2,Married,0,No,23,4,4,1,6,3,3,5,4,0,4
31,No,Travel_Rarely,1082,Research & Development,1,4,3,Male,3,1,Research Scientist,2,Single,1,No,17,3,2,0,1,4,3,1,1,1,0
32,No,Travel_Rarely,548,Research & Development,1,3,2,Male,3,2,Research Scientist,2,Married,1,No,17,3,2,2,10,3,3,10,4,0,9
36,No,Travel_Rarely,132,Research & Development,6,3,2,Female,4,1,Laboratory Technician,4,Married,3,No,12,3,2,0,5,3,3,1,0,0,0
31,No,Travel_Rarely,746,Research & Development,8,4,3,Female,3,2,Manufacturing Director,4,Single,1,No,23,4,4,0,11,2,3,11,7,1,8
35,No,Travel_Rarely,776,Sales,1,4,3,Male,2,2,Sales Executive,1,Single,0,No,14,3,2,0,16,2,3,15,13,2,8
45,No,Travel_Rarely,193,Research & Development,6,4,4,Male,3,3,Research Director,1,Married,4,Yes,14,3,2,0,17,3,4,0,0,0,0
37,No,Travel_Rarely,397,Research & Development,7,4,1,Male,3,3,Research Director,3,Single,4,No,13,3,1,0,16,3,4,5,2,0,2
46,No,Travel_Rarely,945,Human Resources,5,2,2,Male,3,2,Human Resources,2,Divorced,8,Yes,22,4,4,1,16,2,3,4,2,0,2
30,No,Travel_Rarely,852,Research & Development,1,1,4,Male,2,2,Laboratory Technician,4,Married,1,Yes,12,3,3,2,10,1,2,10,8,3,0
35,No,Travel_Rarely,1214,Research & Development,1,3,2,Male,2,1,Research Scientist,3,Single,1,No,18,3,1,0,6,3,3,6,4,0,4
55,No,Travel_Rarely,111,Sales,1,2,1,Male,3,3,Sales Executive,4,Married,3,No,14,3,4,1,24,4,3,1,0,1,0
38,No,Non-Travel,573,Research & Development,6,3,2,Female,1,2,Research Scientist,4,Divorced,7,Yes,12,3,4,3,17,3,3,13,11,1,9
34,No,Travel_Rarely,1153,Research & Development,1,2,1,Male,3,2,Manufacturing Director,2,Married,1,No,15,3,3,0,5,2,3,5,2,1,3
56,No,Travel_Rarely,1400,Research & Development,7,3,4,Male,1,3,Manufacturing Director,4,Single,4,No,11,3,1,0,37,3,2,6,4,0,2
23,No,Travel_Rarely,541,Sales,2,1,3,Male,3,1,Sales Representative,1,Divorced,3,No,13,3,3,1,3,3,3,0,0,0,0
51,No,Travel_Rarely,432,Research & Development,9,4,4,Male,3,1,Laboratory Technician,4,Married,3,No,23,4,2,2,10,4,3,4,2,0,3
30,No,Travel_Rarely,288,Research & Development,2,3,3,Male,2,2,Healthcare Representative,4,Married,1,No,19,3,1,3,11,3,3,11,10,10,8
46,Yes,Travel_Rarely,669,Sales,9,2,3,Male,2,3,Sales Executive,4,Single,1,No,16,3,4,0,9,3,3,9,8,4,7
40,No,Travel_Frequently,530,Research & Development,1,4,3,Male,2,4,Healthcare Representative,2,Married,1,No,22,4,4,1,22,3,2,22,3,11,11
51,No,Travel_Rarely,632,Sales,21,4,3,Male,3,2,Sales Executive,4,Single,0,Yes,22,4,4,0,11,2,1,10,7,1,0
30,No,Travel_Rarely,1334,Sales,4,2,3,Female,2,2,Sales Executive,2,Divorced,1,Yes,12,3,2,3,11,4,2,11,8,2,7
46,No,Travel_Frequently,638,Research & Development,1,3,3,Male,2,3,Healthcare Representative,1,Married,2,Yes,13,3,3,1,21,5,2,10,9,9,5
32,No,Travel_Rarely,1093,Sales,6,4,2,Male,3,2,Sales Executive,3,Single,1,No,16,3,1,0,12,0,3,11,8,5,7
54,No,Travel_Rarely,1217,Research & Development,2,4,1,Female,3,3,Research Director,3,Married,9,No,12,3,1,1,16,5,1,4,3,0,3
24,No,Travel_Rarely,1353,Sales,3,2,1,Female,3,2,Sales Executive,3,Married,0,No,21,4,1,1,4,2,2,3,2,0,2
28,No,Non-Travel,120,Sales,4,3,2,Male,3,2,Sales Executive,3,Married,1,No,15,3,2,0,5,3,4,5,4,0,4
58,No,Travel_Rarely,682,Sales,10,4,4,Male,3,4,Sales Executive,3,Single,0,No,13,3,3,0,38,1,2,37,10,1,8
44,No,Non-Travel,489,Research & Development,23,3,2,Male,3,2,Laboratory Technician,2,Married,4,No,12,3,3,1,17,3,4,3,2,1,2
37,Yes,Travel_Rarely,807,Human Resources,6,4,3,Male,3,1,Human Resources,1,Divorced,4,Yes,22,4,4,0,7,3,3,3,2,0,2
32,No,Travel_Rarely,827,Research & Development,1,1,4,Male,3,1,Research Scientist,1,Single,1,No,13,3,4,0,1,2,3,1,0,0,0
20,Yes,Travel_Frequently,871,Research & Development,6,3,4,Female,2,1,Laboratory Technician,4,Single,1,Yes,18,3,2,0,1,5,3,1,0,1,0
34,No,Travel_Rarely,665,Research & Development,6,4,1,Female,3,2,Research Scientist,3,Single,1,No,14,3,3,0,16,3,3,16,13,2,10
37,No,Non-Travel,1040,Research & Development,2,2,3,Male,2,2,Healthcare Representative,4,Divorced,5,No,14,3,4,1,17,2,4,1,0,0,0
59,No,Non-Travel,1420,Human Resources,2,4,3,Female,2,5,Manager,4,Married,9,No,21,4,4,1,30,3,3,3,2,2,2
50,No,Travel_Frequently,1115,Research & Development,1,3,1,Female,3,5,Research Director,2,Married,3,Yes,19,3,1,0,28,1,2,8,3,0,7
25,Yes,Travel_Rarely,240,Sales,5,3,3,Male,2,2,Sales Executive,3,Single,1,Yes,11,3,4,0,6,1,3,6,4,0,3
25,No,Travel_Rarely,1280,Research & Development,7,1,4,Male,2,1,Research Scientist,4,Married,1,No,11,3,3,2,2,2,3,2,2,2,1
22,No,Travel_Rarely,534,Research & Development,15,3,2,Female,3,1,Laboratory Technician,4,Single,1,No,15,3,3,0,1,5,3,0,0,0,0
51,No,Travel_Frequently,1456,Research & Development,1,4,1,Female,2,3,Healthcare Representative,1,Single,3,No,20,4,3,0,23,1,2,13,12,12,8
34,Yes,Travel_Frequently,658,Research & Development,7,3,1,Male,1,2,Laboratory Technician,3,Single,1,Yes,24,4,4,0,9,3,3,9,7,0,6
54,No,Non-Travel,142,Human Resources,26,3,4,Female,4,4,Manager,4,Single,2,Yes,12,3,3,0,23,3,3,5,3,4,4
24,No,Travel_Rarely,1127,Research & Development,18,1,2,Male,3,1,Laboratory Technician,3,Married,0,No,12,3,3,1,6,2,3,5,3,1,2
34,No,Travel_Rarely,1031,Research & Development,6,4,3,Female,2,2,Research Scientist,2,Divorced,6,No,15,3,3,1,12,3,3,1,0,0,0
37,No,Travel_Rarely,1189,Sales,3,3,3,Male,3,3,Sales Executive,4,Single,2,No,12,3,1,0,12,3,3,5,3,1,3
34,No,Travel_Rarely,1354,Research & Development,5,3,3,Female,2,3,Manager,1,Single,2,No,12,3,4,0,14,6,3,11,10,5,8
36,No,Travel_Frequently,1467,Sales,11,2,2,Female,3,3,Sales Executive,4,Married,0,No,14,3,3,1,10,6,3,9,7,2,8
